"query","search interest","increase percent"
"fiesta del mate 2026",1,"Breakout"
"cosito del mate",0,"Breakout"
"el cosito del mate",0,"Breakout"
"mate ranchero",2,"1.950 %"
"mate animal print",0,"200 %"
"museo del mate",1,"190 %"
"digalo con mate",1,"170 %"
"mate vaca",2,"140 %"
"palida del mate",1,"110 %"
"la palida del mate",0,"100 %"
"mate listo stanley",1,"80 %"
"tienda del mate",0,"80 %"
"alto mate",1,"70 %"
"mate de vaca",1,"70 %"
"fiesta nacional del mate",1,"60 %"
"el mate hidrata?",0,"60 %"
"mate grabado",3,"50 %"
"curar mate de algarrobo",1,"50 %"
"mate justo",2,"50 %"
"mate con mote",1,"50 %"
"virola mate",2,"50 %"
"mateando",1,"40 %"
"dibujo de un mate",1,"40 %"
"mate algarrobo",5,"40 %"
"como curar mate de algarrobo",1,"40 %"
"que es el mate",8,"30 %"
"mate de algarrobo",4,"30 %"
"yuyos para el mate",1,"30 %"
"fiesta del mate",4,"30 %"
"imagen de mate",2,"30 %"
"cera mate",1,"30 %"
"que mate",62,"30 %"
"como curar un mate de algarrobo",1,"20 %"
"cómo curar un mate",1,"20 %"
"a que temperatura se toma el mate",0,"20 %"
"mate torpedo",3,"20 %"
"torpedo mate",3,"20 %"
"mate cosido",1,"20 %"
"mate criollo",1,"20 %"
"mate de palo santo",0,"20 %"
"un mate",42,"20 %"
"mate autocebante",2,"20 %"
"el mate hidrata",1,"20 %"
"mate galleta",1,"20 %"
"color mate",5,"10 %"
"cera mate para el pelo",0,"10 %"
"mate personalizado",2,"10 %"
"termo mate",14,"8 %"
"dibujo de mate",3,"8 %"
"mate cocido",13,"8 %"
